service_id,date,exception_type
101_merged_204574,20200313,1
101_merged_204574,20191218,1
101_merged_204574,20191219,1
201_merged_204563,20191106,1
201_merged_204563,20200207,1
201_merged_204563,20191029,1
201_merged_204563,20191028,1
201_merged_204563,20191104,1
201_merged_204563,20191021,1
201_merged_204563,20200320,1
201_merged_204563,20200323,1
201_merged_204563,20191022,1
201_merged_204563,20200325,1
201_merged_204563,20200324,1
201_merged_204563,20200327,1
201_merged_204563,20200326,1
201_merged_204563,20191108,1
201_merged_204563,20200225,1
201_merged_204563,20200203,1
201_merged_204563,20191101,1
201_merged_204563,20200206,1
201_merged_204563,20200226,1
201_merged_204563,20200204,1
201_merged_204563,20200205,1
201_merged_204563,20191209,1
201_merged_204563,20200129,1
201_merged_204563,20200128,1
201_merged_204563,20191213,1
201_merged_204563,20200123,1
201_merged_204563,20200122,1
201_merged_204563,20200121,1
201_merged_204563,20191220,1
201_merged_204563,20200127,1
201_merged_204563,20191226,1
201_merged_204563,20200124,1
201_merged_204563,20200310,1
201_merged_204563,20191122,1
201_merged_204563,20191126,1
201_merged_204563,20191206,1
201_merged_204563,20200311,1
201_merged_204563,20191223,1
201_merged_204563,20191014,1
201_merged_204563,20191015,1
201_merged_204563,20191010,1
201_merged_204563,20191011,1
201_merged_204563,20200312,1
201_merged_204563,20200219,1
201_merged_204563,20200218,1
201_merged_204563,20191016,1
201_merged_204563,20191017,1
201_merged_204563,20191018,1
201_merged_204563,20200214,1
201_merged_204563,20200217,1
201_merged_204563,20200317,1
201_merged_204563,20200211,1
201_merged_204563,20200210,1
201_merged_204563,20200213,1
201_merged_204563,20200212,1
201_merged_204563,20200318,1
201_merged_204563,20200319,1
201_merged_204563,20200116,1
201_merged_204563,20200117,1
201_merged_204563,20200114,1
201_merged_204563,20200115,1
201_merged_204563,20191212,1
201_merged_204563,20200113,1
201_merged_204563,20200110,1
201_merged_204563,20191211,1
201_merged_204563,20191227,1
201_merged_204563,20191111,1
201_merged_204563,20191202,1
201_merged_204563,20191113,1
201_merged_204563,20191112,1
201_merged_204563,20191023,1
201_merged_204563,20191003,1
201_merged_204563,20191002,1
201_merged_204563,20191001,1
201_merged_204563,20191007,1
201_merged_204563,20200316,1
201_merged_204563,20200305,1
201_merged_204563,20191004,1
201_merged_204563,20191025,1
201_merged_204563,20191009,1
201_merged_204563,20191008,1
201_merged_204563,20191024,1
201_merged_204563,20200224,1
201_merged_204563,20191125,1
201_merged_204563,20200103,1
201_merged_204563,20200227,1
201_merged_204563,20191120,1
201_merged_204563,20191121,1
201_merged_204563,20200107,1
201_merged_204563,20200106,1
201_merged_204563,20200109,1
201_merged_204563,20200108,1
201_merged_204563,20191205,1
201_merged_204563,20200228,1
201_merged_204563,20191129,1
201_merged_204563,20200303,1
201_merged_204563,20200130,1
201_merged_204563,20200302,1
201_merged_204563,20200220,1
201_merged_204563,20191118,1
201_merged_204563,20190930,1
201_merged_204563,20191115,1
201_merged_204563,20191107,1
201_merged_204563,20200131,1
201_merged_204563,20191204,1
201_merged_204563,20191119,1
201_merged_204563,20200306,1
201_merged_204563,20191224,1
201_merged_204563,20200102,1
201_merged_204563,20191030,1
201_merged_204563,20191031,1
201_merged_204563,20191203,1
201_merged_204563,20200221,1
201_merged_204563,20191105,1
201_merged_204563,20200304,1
201_merged_204563,20191127,1
201_merged_204563,20191114,1
201_merged_204563,20191210,1
201_merged_204563,20191230,1
201_merged_204563,20191231,1
201_merged_204563,20200309,1
6_merged_204559,20190527,1
6_merged_204559,20190421,1
6_merged_204559,20190902,1
6_merged_204559,20190704,1
401_merged_204571,20191219,1
401_merged_204571,20191230,1
401_merged_204571,20200217,1
401_merged_204571,20200320,1
401_merged_204571,20191010,1
401_merged_204571,20191011,1
401_merged_204571,20191108,1
401_merged_204571,20200313,1
401_merged_204571,20191007,1
401_merged_204571,20191127,1
401_merged_204571,20200316,1
401_merged_204571,20200317,1
401_merged_204571,20191018,1
401_merged_204571,20200319,1
401_merged_204571,20191009,1
401_merged_204571,20191008,1
401_merged_204571,20191111,1
401_merged_204571,20191129,1
401_merged_204571,20200318,1
401_merged_204571,20200103,1
401_merged_204571,20200102,1
401_merged_204571,20200106,1
401_merged_204571,20191223,1
401_merged_204571,20191231,1
401_merged_204571,20191220,1
401_merged_204571,20191227,1
401_merged_204571,20191226,1
401_merged_204571,20191224,1
3_merged_204567,20200101,1
3_merged_204567,20191128,1
3_merged_204567,20191225,1
1001_merged_204562,20190719,1
1001_merged_204562,20190603,1
1001_merged_204562,20190801,1
1001_merged_204562,20190802,1
1001_merged_204562,20190729,1
1001_merged_204562,20190626,1
1001_merged_204562,20190419,1
1001_merged_204562,20190725,1
1001_merged_204562,20190724,1
1001_merged_204562,20190726,1
1001_merged_204562,20190530,1
1001_merged_204562,20190531,1
1001_merged_204562,20190723,1
1001_merged_204562,20190722,1
1001_merged_204562,20190628,1
1001_merged_204562,20190705,1
1001_merged_204562,20190524,1
1001_merged_204562,20190703,1
1001_merged_204562,20190702,1
1001_merged_204562,20190701,1
1001_merged_204562,20190606,1
1001_merged_204562,20190607,1
1001_merged_204562,20190604,1
1001_merged_204562,20190605,1
1001_merged_204562,20190624,1
1001_merged_204562,20190625,1
1001_merged_204562,20190709,1
1001_merged_204562,20190708,1
1001_merged_204562,20190627,1
1001_merged_204562,20190610,1
1001_merged_204562,20190830,1
1001_merged_204562,20190613,1
1001_merged_204562,20190612,1
1001_merged_204562,20190529,1
1001_merged_204562,20190528,1
1001_merged_204562,20190730,1
1001_merged_204562,20190731,1
1001_merged_204562,20190614,1
1001_merged_204562,20190611,1
1001_merged_204562,20190715,1
1001_merged_204562,20190716,1
1001_merged_204562,20190717,1
1001_merged_204562,20190710,1
1001_merged_204562,20190711,1
1001_merged_204562,20190712,1
1001_merged_204562,20190619,1
1001_merged_204562,20190618,1
1001_merged_204562,20190718,1
1001_merged_204562,20190617,1
1001_merged_204562,20190620,1
1001_merged_204562,20190621,1
901_merged_204564,20191106,1
901_merged_204564,20191107,1
901_merged_204564,20191029,1
901_merged_204564,20191028,1
901_merged_204564,20191104,1
901_merged_204564,20191021,1
901_merged_204564,20200323,1
901_merged_204564,20191022,1
901_merged_204564,20200325,1
901_merged_204564,20200324,1
901_merged_204564,20200327,1
901_merged_204564,20200326,1
901_merged_204564,20191119,1
901_merged_204564,20200225,1
901_merged_204564,20200203,1
901_merged_204564,20191101,1
901_merged_204564,20200206,1
901_merged_204564,20200207,1
901_merged_204564,20200204,1
901_merged_204564,20200205,1
901_merged_204564,20200129,1
901_merged_204564,20200128,1
901_merged_204564,20191213,1
901_merged_204564,20200123,1
901_merged_204564,20200122,1
901_merged_204564,20200121,1
901_merged_204564,20200127,1
901_merged_204564,20200124,1
901_merged_204564,20191122,1
901_merged_204564,20191126,1
901_merged_204564,20191209,1
901_merged_204564,20200219,1
901_merged_204564,20191015,1
901_merged_204564,20200310,1
901_merged_204564,20200311,1
901_merged_204564,20200312,1
901_merged_204564,20200313,1
901_merged_204564,20191014,1
901_merged_204564,20200218,1
901_merged_204564,20191016,1
901_merged_204564,20191017,1
901_merged_204564,20191115,1
901_merged_204564,20200214,1
901_merged_204564,20200211,1
901_merged_204564,20200210,1
901_merged_204564,20200213,1
901_merged_204564,20200212,1
901_merged_204564,20191218,1
901_merged_204564,20191118,1
901_merged_204564,20200116,1
901_merged_204564,20200117,1
901_merged_204564,20200114,1
901_merged_204564,20200115,1
901_merged_204564,20191212,1
901_merged_204564,20200113,1
901_merged_204564,20200110,1
901_merged_204564,20191211,1
901_merged_204564,20191219,1
901_merged_204564,20191202,1
901_merged_204564,20200226,1
901_merged_204564,20191113,1
901_merged_204564,20191112,1
901_merged_204564,20191023,1
901_merged_204564,20191003,1
901_merged_204564,20191002,1
901_merged_204564,20191001,1
901_merged_204564,20200306,1
901_merged_204564,20200305,1
901_merged_204564,20191004,1
901_merged_204564,20191025,1
901_merged_204564,20200309,1
901_merged_204564,20191024,1
901_merged_204564,20200224,1
901_merged_204564,20191125,1
901_merged_204564,20191203,1
901_merged_204564,20200227,1
901_merged_204564,20191120,1
901_merged_204564,20191121,1
901_merged_204564,20200107,1
901_merged_204564,20191206,1
901_merged_204564,20200109,1
901_merged_204564,20200108,1
901_merged_204564,20191205,1
901_merged_204564,20200228,1
901_merged_204564,20200303,1
901_merged_204564,20200302,1
901_merged_204564,20200220,1
901_merged_204564,20190930,1
901_merged_204564,20191216,1
901_merged_204564,20191217,1
901_merged_204564,20191204,1
901_merged_204564,20191030,1
901_merged_204564,20191031,1
901_merged_204564,20200221,1
